
35.0,90.0,19.0,34.0,6.0,32.0,0.64,75.0,1.0
50.0,157.0,34.0,42.0,6.0,34.0,0.71,100.0,1.0
39.0,137.0,24.0,33.0,6.0,35.0,0.63,59.0,1.0
59.0,277.0,34.0,52.0,7.0,47.0,0.81,94.0,2.0
47.0,262.0,32.0,35.0,6.0,27.0,0.63,86.0,1.0
29.0,94.0,17.0,26.0,5.0,30.0,0.61,84.0,1.0
29.0,97.0,15.0,25.0,5.0,24.0,0.54,81.0,1.0
29.0,112.0,14.0,28.0,6.0,25.0,0.51,69.0,1.0
30.0,100.0,13.0,25.0,5.0,20.0,0.71,92.0,1.0
36.0,138.0,14.0,31.0,6.0,23.0,0.58,110.0,1.0
42.0,158.0,21.0,40.0,6.0,23.0,0.65,110.0,1.0
37.0,139.0,14.0,36.0,6.0,21.0,0.58,105.0,1.0
33.0,101.0,10.0,33.0,5.0,19.0,0.58,81.0,1.0
35.0,79.0,13.0,33.0,7.0,23.0,0.59,98.0,1.0
30.0,59.0,10.0,19.0,5.0,17.0,0.5,92.0,1.0
29.0,28.0,10.0,21.0,5.0,20.0,0.57,85.0,1.0
43.0,90.0,20.0,43.0,7.0,37.0,0.68,69.0,1.0
63.0,230.0,35.0,61.0,9.0,62.0,0.87,89.0,2.0
